"","dept","comments_RAP","comments_coding_practices","comments_coding_support","comments_survey","comments_other"
"1032","Ministry of Justice (excl. agencies)",NA,NA,NA,NA,"I find it frustrating that in my department easy to use social statistical programmes have been replaced by ""coding"" style analytical programmes - such as R. 
I understand they work well for reproducible analysis and are open source, but not all analysts have the same skills or work on the same projects. 
Effort should be made to ensure all analysts are able to access the programmes needed to do their role well. "
"1034","Other",NA,NA,"Recommended track of resources online.
Presentations/sessions.",NA,NA
"1039","Other","I think another team in my department are looking at RAP for some of our work but not currently happening in my work.",NA,NA,NA,NA
"1040","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,"Not sure because I am new in my role and still learning about these things","No",NA
"1045","Other",NA,NA,"Technical support to setup the systems needed to work in this manner.
Support from champions to train staff and management in best practice and the rationale behind it.",NA,NA
"1049","Welsh Government",NA,NA,"Online learning resources using our own real world data. ","Data on interest in developing coding skills in those who currently have no experience. ",NA
"1050","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,NA,NA,NA,"question filtering would be useful - why ask how often you use X and Y when coding if the respondent says they don't code"
"1051","Welsh Government",NA,NA,"Improved communities of practice. Real world on the job implementation as opposed to online or classroom based learning. ","How much of your time is spent actually writing code?
The time split between analysis, documentation, stakeholder engagement, environment set-up (eg. Azure), coding, unit testing. 
",NA
"1052","Welsh Government",NA,NA,"N/a - have access to experts in the area",NA,NA
"1054","Office for National Statistics",NA,NA,"Training programmes",NA,NA
"1055","Welsh Government",NA,"I have ticked never for using coding standards and style guides as I don't follow any specifically. 

However I do maintain a consistent and clean style of coding. I think the key thing is to make code readable, interpretable and comment code while using a consistent format that is easy for someone to adapt to if they pick up the code in future.","training","no","na"
"1056","Department of Health and Social Care (excl. agencies)",NA,"We use ansible which might be categorised as a reproducible workflow package","A day a week dedicated to learning areas that I don't know so well, or reviewing the current code base to see how it could be improved instead of trying to fix bugs or implement new features",NA,"At Government it is hard to get the tools to do any programming, i.e. an off-network laptop or software installed on networked laptops. There is talk of a virtual environment to do development in but this sounds like it is riddled with issues. Until that is working, why is there a reluctance to supply the tools needed to do any sort of programming without jumping through hoops for months on end? "
"1057","Other","I don't feel confident implementing RAP because my recent coding experience is mainly using command languages, whereas RAP is currently focussed on procedural coding. I don't see myself contributing to RAP as a coder, but RAP processes don't seem to offer roles for non-coders.
RAP or similar approaches seem to be the future direction of analysis, but they are not a current priority at APHA.",NA,"An APHA RAP strategy would allow me to identify a role that suited my experience, and hence appropriate training. Restarting my career as a coder would be pointless. Jupyter notebooks have been suggested to me as a potentially useful approach.","Perhaps you need to be more specific about what you mean by coding and programming.","RAP seems to be too focussed on scarce coding skills. I think it should include non-coding elements where it can."
"1058","Welsh Government",NA,NA,"More ttools","No","No"
